feature_index,channel,bin_fft,feature_type
64,aceleracao_y_mancal_a,31,approx_magnitude_abs_real_plus_abs_imag_q15
65,aceleracao_y_mancal_a,32,approx_magnitude_abs_real_plus_abs_imag_q15
66,aceleracao_x_mancal_b,0,approx_magnitude_abs_real_plus_abs_imag_q15
67,aceleracao_x_mancal_b,1,approx_magnitude_abs_real_plus_abs_imag_q15
68,aceleracao_x_mancal_b,2,approx_magnitude_abs_real_plus_abs_imag_q15
69,aceleracao_x_mancal_b,3,approx_magnitude_abs_real_plus_abs_imag_q15
70,aceleracao_x_mancal_b,4,approx_magnitude_abs_real_plus_abs_imag_q15
71,aceleracao_x_mancal_b,5,approx_magnitude_abs_real_plus_abs_imag_q15
72,aceleracao_x_mancal_b,6,approx_magnitude_abs_real_plus_abs_imag_q15
73,aceleracao_x_mancal_b,7,approx_magnitude_abs_real_plus_abs_imag_q15
74,aceleracao_x_mancal_b,8,approx_magnitude_abs_real_plus_abs_imag_q15
75,aceleracao_x_mancal_b,9,approx_magnitude_abs_real_plus_abs_imag_q15
76,aceleracao_x_mancal_b,10,approx_magnitude_abs_real_plus_abs_imag_q15
77,aceleracao_x_mancal_b,11,approx_magnitude_abs_real_plus_abs_imag_q15
78,aceleracao_x_mancal_b,12,approx_magnitude_abs_real_plus_abs_imag_q15
79,aceleracao_x_mancal_b,13,approx_magnitude_abs_real_plus_abs_imag_q15
80,aceleracao_x_mancal_b,14,approx_magnitude_abs_real_plus_abs_imag_q15
81,aceleracao_x_mancal_b,15,approx_magnitude_abs_real_plus_abs_imag_q15
82,aceleracao_x_mancal_b,16,approx_magnitude_abs_real_plus_abs_imag_q15
83,aceleracao_x_mancal_b,17,approx_magnitude_abs_real_plus_abs_imag_q15
84,aceleracao_x_mancal_b,18,approx_magnitude_abs_real_plus_abs_imag_q15
85,aceleracao_x_mancal_b,19,approx_magnitude_abs_real_plus_abs_imag_q15
86,aceleracao_x_mancal_b,20,approx_magnitude_abs_real_plus_abs_imag_q15
87,aceleracao_x_mancal_b,21,approx_magnitude_abs_real_plus_abs_imag_q15
88,aceleracao_x_mancal_b,22,approx_magnitude_abs_real_plus_abs_imag_q15
89,aceleracao_x_mancal_b,23,approx_magnitude_abs_real_plus_abs_imag_q15
90,aceleracao_x_mancal_b,24,approx_magnitude_abs_real_plus_abs_imag_q15
91,aceleracao_x_mancal_b,25,approx_magnitude_abs_real_plus_abs_imag_q15
92,aceleracao_x_mancal_b,26,approx_magnitude_abs_real_plus_abs_imag_q15
93,aceleracao_x_mancal_b,27,approx_magnitude_abs_real_plus_abs_imag_q15
94,aceleracao_x_mancal_b,28,approx_magnitude_abs_real_plus_abs_imag_q15
95,aceleracao_x_mancal_b,29,approx_magnitude_abs_real_plus_abs_imag_q15
96,aceleracao_x_mancal_b,30,approx_magnitude_abs_real_plus_abs_imag_q15
97,aceleracao_x_mancal_b,31,approx_magnitude_abs_real_plus_abs_imag_q15
98,aceleracao_x_mancal_b,32,approx_magnitude_abs_real_plus_abs_imag_q15
99,aceleracao_y_mancal_b,0,approx_magnitude_abs_real_plus_abs_imag_q15
100,aceleracao_y_mancal_b,1,approx_magnitude_abs_real_plus_abs_imag_q15
101,aceleracao_y_mancal_b,2,approx_magnitude_abs_real_plus_abs_imag_q15
102,aceleracao_y_mancal_b,3,approx_magnitude_abs_real_plus_abs_imag_q15
103,aceleracao_y_mancal_b,4,approx_magnitude_abs_real_plus_abs_imag_q15
104,aceleracao_y_mancal_b,5,approx_magnitude_abs_real_plus_abs_imag_q15
105,aceleracao_y_mancal_b,6,approx_magnitude_abs_real_plus_abs_imag_q15
106,aceleracao_y_mancal_b,7,approx_magnitude_abs_real_plus_abs_imag_q15
107,aceleracao_y_mancal_b,8,approx_magnitude_abs_real_plus_abs_imag_q15
108,aceleracao_y_mancal_b,9,approx_magnitude_abs_real_plus_abs_imag_q15
109,aceleracao_y_mancal_b,10,approx_magnitude_abs_real_plus_abs_imag_q15
110,aceleracao_y_mancal_b,11,approx_magnitude_abs_real_plus_abs_imag_q15
111,aceleracao_y_mancal_b,12,approx_magnitude_abs_real_plus_abs_imag_q15
112,aceleracao_y_mancal_b,13,approx_magnitude_abs_real_plus_abs_imag_q15
113,aceleracao_y_mancal_b,14,approx_magnitude_abs_real_plus_abs_imag_q15
114,aceleracao_y_mancal_b,15,approx_magnitude_abs_real_plus_abs_imag_q15
115,aceleracao_y_mancal_b,16,approx_magnitude_abs_real_plus_abs_imag_q15
116,aceleracao_y_mancal_b,17,approx_magnitude_abs_real_plus_abs_imag_q15
117,aceleracao_y_mancal_b,18,approx_magnitude_abs_real_plus_abs_imag_q15
118,aceleracao_y_mancal_b,19,approx_magnitude_abs_real_plus_abs_imag_q15
119,aceleracao_y_mancal_b,20,approx_magnitude_abs_real_plus_abs_imag_q15
120,aceleracao_y_mancal_b,21,approx_magnitude_abs_real_plus_abs_imag_q15
121,aceleracao_y_mancal_b,22,approx_magnitude_abs_real_plus_abs_imag_q15
122,aceleracao_y_mancal_b,23,approx_magnitude_abs_real_plus_abs_imag_q15
123,aceleracao_y_mancal_b,24,approx_magnitude_abs_real_plus_abs_imag_q15
124,aceleracao_y_mancal_b,25,approx_magnitude_abs_real_plus_abs_imag_q15
125,aceleracao_y_mancal_b,26,approx_magnitude_abs_real_plus_abs_imag_q15
126,aceleracao_y_mancal_b,27,approx_magnitude_abs_real_plus_abs_imag_q15
127,aceleracao_y_mancal_b,28,approx_magnitude_abs_real_plus_abs_imag_q15
128,aceleracao_y_mancal_b,29,approx_magnitude_abs_real_plus_abs_imag_q15
129,aceleracao_y_mancal_b,30,approx_magnitude_abs_real_plus_abs_imag_q15
130,aceleracao_y_mancal_b,31,approx_magnitude_abs_real_plus_abs_imag_q15
131,aceleracao_y_mancal_b,32,approx_magnitude_abs_real_plus_abs_imag_q15
