feature_index,channel,bin_fft,feature_type
97,aceleracao_y_mancal_a,33,approx_magnitude_abs_real_plus_abs_imag_q15
98,aceleracao_y_mancal_a,34,approx_magnitude_abs_real_plus_abs_imag_q15
99,aceleracao_y_mancal_a,35,approx_magnitude_abs_real_plus_abs_imag_q15
100,aceleracao_y_mancal_a,36,approx_magnitude_abs_real_plus_abs_imag_q15
101,aceleracao_y_mancal_a,37,approx_magnitude_abs_real_plus_abs_imag_q15
102,aceleracao_y_mancal_a,38,approx_magnitude_abs_real_plus_abs_imag_q15
103,aceleracao_y_mancal_a,39,approx_magnitude_abs_real_plus_abs_imag_q15
104,aceleracao_y_mancal_a,40,approx_magnitude_abs_real_plus_abs_imag_q15
105,aceleracao_y_mancal_a,41,approx_magnitude_abs_real_plus_abs_imag_q15
106,aceleracao_y_mancal_a,42,approx_magnitude_abs_real_plus_abs_imag_q15
107,aceleracao_y_mancal_a,43,approx_magnitude_abs_real_plus_abs_imag_q15
108,aceleracao_y_mancal_a,44,approx_magnitude_abs_real_plus_abs_imag_q15
109,aceleracao_y_mancal_a,45,approx_magnitude_abs_real_plus_abs_imag_q15
110,aceleracao_y_mancal_a,46,approx_magnitude_abs_real_plus_abs_imag_q15
111,aceleracao_y_mancal_a,47,approx_magnitude_abs_real_plus_abs_imag_q15
112,aceleracao_y_mancal_a,48,approx_magnitude_abs_real_plus_abs_imag_q15
113,aceleracao_y_mancal_a,49,approx_magnitude_abs_real_plus_abs_imag_q15
114,aceleracao_y_mancal_a,50,approx_magnitude_abs_real_plus_abs_imag_q15
115,aceleracao_y_mancal_a,51,approx_magnitude_abs_real_plus_abs_imag_q15
116,aceleracao_y_mancal_a,52,approx_magnitude_abs_real_plus_abs_imag_q15
117,aceleracao_y_mancal_a,53,approx_magnitude_abs_real_plus_abs_imag_q15
118,aceleracao_y_mancal_a,54,approx_magnitude_abs_real_plus_abs_imag_q15
119,aceleracao_y_mancal_a,55,approx_magnitude_abs_real_plus_abs_imag_q15
120,aceleracao_y_mancal_a,56,approx_magnitude_abs_real_plus_abs_imag_q15
121,aceleracao_y_mancal_a,57,approx_magnitude_abs_real_plus_abs_imag_q15
122,aceleracao_y_mancal_a,58,approx_magnitude_abs_real_plus_abs_imag_q15
123,aceleracao_y_mancal_a,59,approx_magnitude_abs_real_plus_abs_imag_q15
124,aceleracao_y_mancal_a,60,approx_magnitude_abs_real_plus_abs_imag_q15
125,aceleracao_y_mancal_a,61,approx_magnitude_abs_real_plus_abs_imag_q15
126,aceleracao_y_mancal_a,62,approx_magnitude_abs_real_plus_abs_imag_q15
127,aceleracao_y_mancal_a,63,approx_magnitude_abs_real_plus_abs_imag_q15
128,aceleracao_x_mancal_b,0,approx_magnitude_abs_real_plus_abs_imag_q15
129,aceleracao_x_mancal_b,1,approx_magnitude_abs_real_plus_abs_imag_q15
130,aceleracao_x_mancal_b,2,approx_magnitude_abs_real_plus_abs_imag_q15
131,aceleracao_x_mancal_b,3,approx_magnitude_abs_real_plus_abs_imag_q15
132,aceleracao_x_mancal_b,4,approx_magnitude_abs_real_plus_abs_imag_q15
133,aceleracao_x_mancal_b,5,approx_magnitude_abs_real_plus_abs_imag_q15
134,aceleracao_x_mancal_b,6,approx_magnitude_abs_real_plus_abs_imag_q15
135,aceleracao_x_mancal_b,7,approx_magnitude_abs_real_plus_abs_imag_q15
136,aceleracao_x_mancal_b,8,approx_magnitude_abs_real_plus_abs_imag_q15
137,aceleracao_x_mancal_b,9,approx_magnitude_abs_real_plus_abs_imag_q15
138,aceleracao_x_mancal_b,10,approx_magnitude_abs_real_plus_abs_imag_q15
139,aceleracao_x_mancal_b,11,approx_magnitude_abs_real_plus_abs_imag_q15
140,aceleracao_x_mancal_b,12,approx_magnitude_abs_real_plus_abs_imag_q15
141,aceleracao_x_mancal_b,13,approx_magnitude_abs_real_plus_abs_imag_q15
142,aceleracao_x_mancal_b,14,approx_magnitude_abs_real_plus_abs_imag_q15
143,aceleracao_x_mancal_b,15,approx_magnitude_abs_real_plus_abs_imag_q15
144,aceleracao_x_mancal_b,16,approx_magnitude_abs_real_plus_abs_imag_q15
145,aceleracao_x_mancal_b,17,approx_magnitude_abs_real_plus_abs_imag_q15
146,aceleracao_x_mancal_b,18,approx_magnitude_abs_real_plus_abs_imag_q15
147,aceleracao_x_mancal_b,19,approx_magnitude_abs_real_plus_abs_imag_q15
148,aceleracao_x_mancal_b,20,approx_magnitude_abs_real_plus_abs_imag_q15
149,aceleracao_x_mancal_b,21,approx_magnitude_abs_real_plus_abs_imag_q15
150,aceleracao_x_mancal_b,22,approx_magnitude_abs_real_plus_abs_imag_q15
151,aceleracao_x_mancal_b,23,approx_magnitude_abs_real_plus_abs_imag_q15
152,aceleracao_x_mancal_b,24,approx_magnitude_abs_real_plus_abs_imag_q15
153,aceleracao_x_mancal_b,25,approx_magnitude_abs_real_plus_abs_imag_q15
154,aceleracao_x_mancal_b,26,approx_magnitude_abs_real_plus_abs_imag_q15
155,aceleracao_x_mancal_b,27,approx_magnitude_abs_real_plus_abs_imag_q15
156,aceleracao_x_mancal_b,28,approx_magnitude_abs_real_plus_abs_imag_q15
157,aceleracao_x_mancal_b,29,approx_magnitude_abs_real_plus_abs_imag_q15
158,aceleracao_x_mancal_b,30,approx_magnitude_abs_real_plus_abs_imag_q15
159,aceleracao_x_mancal_b,31,approx_magnitude_abs_real_plus_abs_imag_q15
160,aceleracao_x_mancal_b,32,approx_magnitude_abs_real_plus_abs_imag_q15
161,aceleracao_x_mancal_b,33,approx_magnitude_abs_real_plus_abs_imag_q15
162,aceleracao_x_mancal_b,34,approx_magnitude_abs_real_plus_abs_imag_q15
163,aceleracao_x_mancal_b,35,approx_magnitude_abs_real_plus_abs_imag_q15
164,aceleracao_x_mancal_b,36,approx_magnitude_abs_real_plus_abs_imag_q15
165,aceleracao_x_mancal_b,37,approx_magnitude_abs_real_plus_abs_imag_q15
166,aceleracao_x_mancal_b,38,approx_magnitude_abs_real_plus_abs_imag_q15
167,aceleracao_x_mancal_b,39,approx_magnitude_abs_real_plus_abs_imag_q15
168,aceleracao_x_mancal_b,40,approx_magnitude_abs_real_plus_abs_imag_q15
169,aceleracao_x_mancal_b,41,approx_magnitude_abs_real_plus_abs_imag_q15
170,aceleracao_x_mancal_b,42,approx_magnitude_abs_real_plus_abs_imag_q15
171,aceleracao_x_mancal_b,43,approx_magnitude_abs_real_plus_abs_imag_q15
172,aceleracao_x_mancal_b,44,approx_magnitude_abs_real_plus_abs_imag_q15
173,aceleracao_x_mancal_b,45,approx_magnitude_abs_real_plus_abs_imag_q15
174,aceleracao_x_mancal_b,46,approx_magnitude_abs_real_plus_abs_imag_q15
175,aceleracao_x_mancal_b,47,approx_magnitude_abs_real_plus_abs_imag_q15
176,aceleracao_x_mancal_b,48,approx_magnitude_abs_real_plus_abs_imag_q15
177,aceleracao_x_mancal_b,49,approx_magnitude_abs_real_plus_abs_imag_q15
178,aceleracao_x_mancal_b,50,approx_magnitude_abs_real_plus_abs_imag_q15
179,aceleracao_x_mancal_b,51,approx_magnitude_abs_real_plus_abs_imag_q15
180,aceleracao_x_mancal_b,52,approx_magnitude_abs_real_plus_abs_imag_q15
181,aceleracao_x_mancal_b,53,approx_magnitude_abs_real_plus_abs_imag_q15
182,aceleracao_x_mancal_b,54,approx_magnitude_abs_real_plus_abs_imag_q15
183,aceleracao_x_mancal_b,55,approx_magnitude_abs_real_plus_abs_imag_q15
184,aceleracao_x_mancal_b,56,approx_magnitude_abs_real_plus_abs_imag_q15
185,aceleracao_x_mancal_b,57,approx_magnitude_abs_real_plus_abs_imag_q15
186,aceleracao_x_mancal_b,58,approx_magnitude_abs_real_plus_abs_imag_q15
187,aceleracao_x_mancal_b,59,approx_magnitude_abs_real_plus_abs_imag_q15
188,aceleracao_x_mancal_b,60,approx_magnitude_abs_real_plus_abs_imag_q15
189,aceleracao_x_mancal_b,61,approx_magnitude_abs_real_plus_abs_imag_q15
190,aceleracao_x_mancal_b,62,approx_magnitude_abs_real_plus_abs_imag_q15
191,aceleracao_x_mancal_b,63,approx_magnitude_abs_real_plus_abs_imag_q15
192,aceleracao_y_mancal_b,0,approx_magnitude_abs_real_plus_abs_imag_q15
193,aceleracao_y_mancal_b,1,approx_magnitude_abs_real_plus_abs_imag_q15
194,aceleracao_y_mancal_b,2,approx_magnitude_abs_real_plus_abs_imag_q15
195,aceleracao_y_mancal_b,3,approx_magnitude_abs_real_plus_abs_imag_q15
196,aceleracao_y_mancal_b,4,approx_magnitude_abs_real_plus_abs_imag_q15
197,aceleracao_y_mancal_b,5,approx_magnitude_abs_real_plus_abs_imag_q15
198,aceleracao_y_mancal_b,6,approx_magnitude_abs_real_plus_abs_imag_q15
199,aceleracao_y_mancal_b,7,approx_magnitude_abs_real_plus_abs_imag_q15
200,aceleracao_y_mancal_b,8,approx_magnitude_abs_real_plus_abs_imag_q15
201,aceleracao_y_mancal_b,9,approx_magnitude_abs_real_plus_abs_imag_q15
202,aceleracao_y_mancal_b,10,approx_magnitude_abs_real_plus_abs_imag_q15
203,aceleracao_y_mancal_b,11,approx_magnitude_abs_real_plus_abs_imag_q15
204,aceleracao_y_mancal_b,12,approx_magnitude_abs_real_plus_abs_imag_q15
205,aceleracao_y_mancal_b,13,approx_magnitude_abs_real_plus_abs_imag_q15
206,aceleracao_y_mancal_b,14,approx_magnitude_abs_real_plus_abs_imag_q15
207,aceleracao_y_mancal_b,15,approx_magnitude_abs_real_plus_abs_imag_q15
208,aceleracao_y_mancal_b,16,approx_magnitude_abs_real_plus_abs_imag_q15
209,aceleracao_y_mancal_b,17,approx_magnitude_abs_real_plus_abs_imag_q15
210,aceleracao_y_mancal_b,18,approx_magnitude_abs_real_plus_abs_imag_q15
211,aceleracao_y_mancal_b,19,approx_magnitude_abs_real_plus_abs_imag_q15
212,aceleracao_y_mancal_b,20,approx_magnitude_abs_real_plus_abs_imag_q15
213,aceleracao_y_mancal_b,21,approx_magnitude_abs_real_plus_abs_imag_q15
214,aceleracao_y_mancal_b,22,approx_magnitude_abs_real_plus_abs_imag_q15
215,aceleracao_y_mancal_b,23,approx_magnitude_abs_real_plus_abs_imag_q15
216,aceleracao_y_mancal_b,24,approx_magnitude_abs_real_plus_abs_imag_q15
217,aceleracao_y_mancal_b,25,approx_magnitude_abs_real_plus_abs_imag_q15
218,aceleracao_y_mancal_b,26,approx_magnitude_abs_real_plus_abs_imag_q15
219,aceleracao_y_mancal_b,27,approx_magnitude_abs_real_plus_abs_imag_q15
220,aceleracao_y_mancal_b,28,approx_magnitude_abs_real_plus_abs_imag_q15
221,aceleracao_y_mancal_b,29,approx_magnitude_abs_real_plus_abs_imag_q15
222,aceleracao_y_mancal_b,30,approx_magnitude_abs_real_plus_abs_imag_q15
223,aceleracao_y_mancal_b,31,approx_magnitude_abs_real_plus_abs_imag_q15
224,aceleracao_y_mancal_b,32,approx_magnitude_abs_real_plus_abs_imag_q15
225,aceleracao_y_mancal_b,33,approx_magnitude_abs_real_plus_abs_imag_q15
