dataset,artifact_dir,test_accuracy,validation_accuracy,cv_accuracy_mean,cv_accuracy_std,tree_depth,node_count,feature_count
motor_measurements_q15.parquet,03.Reference/artifacts/ml_classifier/motor_measurements_q15,0.7851666666666667,0.7901666666666667,0.7884821428571429,0.0033426739876564445,5,35,132
motor_vibration_q115.parquet,03.Reference/artifacts/ml_classifier/motor_vibration_q115,0.78425,0.7903333333333333,0.78825,0.003393608939264077,5,35,132
